,Appearances,Assists,Bigchancescreated,Bigchancesmissed,Blockedshots,Clearances,Club,Crosses,Fouls,Freekicksscored,Goals,Goalspermatch,Goalswithleftfoot,Goalswithrightfoot,HeadedClearance,Headedgoals,Hitwoodwork,Interceptions,Name,Offsides,Passes,Passespermatch,Penaltiesscored,Redcards,Shootingaccuracy%,Shots,Shotsontarget,Tackles,Yellowcards
90,6,0,1,0,3,0,Watford,6,3,0,0,6,0,0,0,0,0,0,Ismaila Sarr,3,54,9,0,0,5%,5,0,0,0
91,0,0,0,0,0,0,Watford,0,0,0,0,0,0,0,0,0,0,0,Sam Dalby,0,0,0,0,0,0%,0,0,0,0
92,21,1,7,3,5,4,West Ham United,24,20,0,5,0.24,5,0,0,0,1,6,Andriy Yarmolenko,9,490,23.33,0,0,44%,27,12,14,3
93,1,0,0,0,2,0,West Ham United,0,0,0,0,1,0,0,0,0,0,0,Xande Silva,0,4,4,0,0,2%,2,0,0,0
94,12,1,0,2,7,7,West Ham United,3,20,0,4,0.33,1,3,7,0,0,6,Sébastien Haller,12,361,30.08,0,0,48%,29,14,14,1
95,4,0,0,0,0,0,West Ham United,0,4,0,0,4,0,0,0,0,0,0,Albian Ajeti,2,9,2.25,0,0,0%,0,0,0,0
96,44,5,10,13,23,13,Wolverhampton Wanderers,48,62,0,10,0.23,5,5,10,0,3,18,Diogo Jota,6,"1,041",23.66,0,0,40%,83,33,39,13
97,78,6,6,2,12,21,Wolverhampton Wanderers,191,49,0,3,0.04,0,3,11,0,1,18,Adama Traoré,9,929,11.91,0,0,26%,42,11,64,3
98,51,9,18,12,32,53,Wolverhampton Wanderers,35,56,0,19,0.37,2,12,40,5,5,32,Raúl Jiménez,44,"1,402",27.49,4,0,34%,152,52,38,6
99,9,0,1,2,3,0,Wolverhampton Wanderers,5,5,0,1,0.11,1,0,0,0,0,1,Patrick Cutrone,3,52,5.78,0,0,22%,9,2,3,0
100,8,1,2,1,2,1,Wolverhampton Wanderers,7,1,0,0,8,0,0,0,0,0,1,Pedro Neto,0,63,7.88,0,0,25%,4,1,1,1
101,0,0,0,0,0,0,Wolverhampton Wanderers,0,0,0,0,0,0,0,0,0,0,0,Benny Ashley-Seal,0,0,0,0,0,0%,0,0,0,0
102,0,0,0,0,0,0,Wolverhampton Wanderers,0,0,0,0,0,0,0,0,0,0,0,Austin Samuels,0,0,0,0,0,0%,0,0,0,0
103,0,0,0,0,0,0,Wolverhampton Wanderers,0,0,0,0,0,0,0,0,0,0,0,Chem Campbell,0,0,0,0,0,0%,0,0,0,0
